I frame                                             P frame                                             B frame                                            
bitrate(kb/s) 	 psnr(Y) 	 psnr(U) 	 psnr(V)    bitrate(kb/s) 	 psnr(Y) 	 psnr(U) 	 psnr(V)    bitrate(kb/s) 	 psnr(Y) 	 psnr(U) 	 psnr(V)    
6934.46       	 42.552  	 45.101  	 45.258     
4175.59       	 39.139  	 42.015  	 42.092     
2396.45       	 35.763  	 39.547  	 39.499     
1342.90       	 32.656  	 37.692  	 37.616     
13670.66      	 41.206  	 43.987  	 44.531     
9190.92       	 36.988  	 41.196  	 41.885     
5850.05       	 33.049  	 39.347  	 39.872     
3673.34       	 29.417  	 38.166  	 38.550     
12284.88      	 40.874  	 42.342  	 43.771     
7397.98       	 36.952  	 39.281  	 40.757     
4165.82       	 33.373  	 36.945  	 38.336     
2225.74       	 30.225  	 35.239  	 36.559     
10718.74      	 42.014  	 43.355  	 43.736     
6850.18       	 38.019  	 40.055  	 40.497     
4081.10       	 34.190  	 37.490  	 37.807     
2299.10       	 30.855  	 35.503  	 35.674     
28133.81      	 41.879  	 44.084  	 44.793     
15736.94      	 38.576  	 41.414  	 41.804     
8476.32       	 35.584  	 39.080  	 39.293     
4646.66       	 32.905  	 37.226  	 37.348     
31781.14      	 41.637  	 43.722  	 44.965     
19566.98      	 38.476  	 41.229  	 42.262     
11906.64      	 35.148  	 39.198  	 40.012     
6908.83       	 31.840  	 37.685  	 38.285     
64001.86      	 40.734  	 42.194  	 42.669     
41683.68      	 36.410  	 39.001  	 39.314     
25517.52      	 32.426  	 36.657  	 36.829     
14509.34      	 28.735  	 34.985  	 35.051     
35665.03      	 42.141  	 43.659  	 44.210     
21937.85      	 38.484  	 40.507  	 41.354     
12907.25      	 34.875  	 38.123  	 39.109     
7030.34       	 31.486  	 36.361  	 37.290     
34398.05      	 43.856  	 47.085  	 48.106     
20966.81      	 41.249  	 44.807  	 45.940     
13015.44      	 38.346  	 42.795  	 43.919     
8029.51       	 35.288  	 41.226  	 42.221     
23155.68      	 44.115  	 48.225  	 48.692     
12789.05      	 41.963  	 46.419  	 46.921     
7409.16       	 39.650  	 44.470  	 44.916     
4394.38       	 37.143  	 42.814  	 43.231     
25222.56      	 44.513  	 47.713  	 48.472     
14993.06      	 42.178  	 45.703  	 46.524     
9164.47       	 39.523  	 43.677  	 44.563     
5643.84       	 36.681  	 42.044  	 42.901     
57711.55      	 43.132  	 44.747  	 46.439     
30499.42      	 41.624  	 42.837  	 44.189     
17910.79      	 39.687  	 41.263  	 42.503     
10639.58      	 37.252  	 40.030  	 41.389     
136189.63     	 41.644  	 43.385  	 44.492     
73519.03      	 38.744  	 40.935  	 41.975     
38783.52      	 35.885  	 39.062  	 40.353     
19585.90      	 33.150  	 37.760  	 39.461     
156948.46     	 40.884  	 41.990  	 44.136     
72813.77      	 37.938  	 39.567  	 42.011     
38653.22      	 35.599  	 38.299  	 40.219     
21547.42      	 33.173  	 37.355  	 38.732     
77093.09      	 41.541  	 45.416  	 47.030     
29699.83      	 39.583  	 44.128  	 45.107     
15413.78      	 38.093  	 42.729  	 43.169     
8919.58       	 36.341  	 41.467  	 41.524     
191365.70     	 42.498  	 43.270  	 44.689     
109080.48     	 37.898  	 40.947  	 42.735     
59762.04      	 34.528  	 39.153  	 41.133     
33557.42      	 31.567  	 37.877  	 39.935     
225304.30     	 43.305  	 43.151  	 44.929     
129700.97     	 40.197  	 40.537  	 42.480     
74623.75      	 37.151  	 38.607  	 40.615     
42822.19      	 34.182  	 37.209  	 39.297     
227581.10     	 43.144  	 45.814  	 45.529     
135708.31     	 39.836  	 43.462  	 43.690     
79019.93      	 36.726  	 41.416  	 41.976     
46553.69      	 33.870  	 39.794  	 40.586     
